"","Species","Longitude","Latitude","optional"
"2:128","Populus_tremuloides",-109.23,33.8299999601191,TRUE
"2:129","Populus_tremuloides",-109.17,33.8299999601192,TRUE
"2:130","Populus_tremuloides",-109.55,33.8399999601396,TRUE
"2:131","Populus_tremuloides",-109.48,33.8399999601396,TRUE
"2:132","Populus_tremuloides",-109.72,33.8499999601601,TRUE
"2:133","Populus_tremuloides",-109.2,33.8599999601806,TRUE
"2:134","Populus_tremuloides",-109.64,33.8699999602011,TRUE
"2:135","Populus_tremuloides",-107.5,33.8699999602011,TRUE
"2:136","Populus_tremuloides",-109.76,33.8799999602216,TRUE
"2:137","Populus_tremuloides",-109.49,33.8799999602216,TRUE
"2:138","Populus_tremuloides",-109.28,33.8799999602216,TRUE
"2:139","Populus_tremuloides",-109.71,33.8899999602421,TRUE
"2:140","Populus_tremuloides",-109.58,33.8899999602421,TRUE
