"","settings","features","rm","full.AUC","Mean.AUC","Var.AUC","Mean.AUC.DIFF","Var.AUC.DIFF","Mean.OR10","Var.OR10","Mean.ORmin","Var.ORmin","AICc","delta.AICc","w.AIC","nparam","sel.cri","rankAICc"
"18","Q_1","Q",1,0.7587,0.70601758,0.0401541121113688,0.08983553,0.0364529317012744,0.2084,0.04593088,0.0012,5.76e-06,137214.754183377,2182.5628839813,0,11,"",102
"19","H_1","H",1,0.8152,0.7371614,0.0116619438728624,0.0794845466666667,0.0221622227541045,0.2258,0.060324,0.0032,4.096e-05,135196.081547343,163.890247947449,2.58038644657153e-36,131,"",13
"20","LP_1","LP",1,0.7963,0.74362171,0.00999681007679824,0.0590151666666667,0.0160373246175279,0.162,0.01905216,0.003,3.6e-05,136047.113168283,1014.92186888729,4.09747490514338e-221,40,"",71
"21","LQ_1","LQ",1,0.7824,0.72102132,0.0180468697710986,0.07654243,0.0244246119691147,0.2096,0.0300206933333333,0.007,0.000196,136445.305280117,1413.11398072101,1.40022506975969e-307,17,"",80
"22","LH_1","LH",1,0.8152,0.73751696,0.0119608648638857,0.07887572,0.0227893185443537,0.2248,0.0616064,0.0032,4.096e-05,135225.815209173,193.623909777642,9.01783162715083e-43,141,"",16
"23","PQ_1","PQ",1,0.7964,0.74291835,0.00940791659318982,0.06005427,0.0154687730931024,0.1642,0.01544208,0.0038,5.776e-05,136053.482192523,1021.29089312692,1.69629062262074e-222,40,"",72
"24","PH_1","PH",1,0.8163,0.72813435,0.0109900841055048,0.0935840066666666,0.0189553915905019,0.2292,0.0596832,0.0068,0.00018496,135147.841262151,115.649962755211,7.70778486375049e-26,123,"",10
"25","QH_1","QH",1,0.8152,0.73856298,0.0117496714559303,0.0773488466666667,0.0222652578014601,0.2222,0.0612537066666667,0.0042,7.056e-05,135208.804179937,176.612880540895,4.45656440081228e-39,135,"",14
"26","LPQ_1","LPQ",1,0.7979,0.744728,0.0075256048794181,0.0567652733333333,0.0136126898795006,0.1504,0.0113181866666667,0.0034,4.624e-05,135983.263074681,951.071775285382,3.00184291849767e-207,39,"",69
"27","LPH_1","LPH",1,0.8163,0.73250191,0.0110440087429607,0.0885331033333333,0.0186565488590548,0.221,0.0617311466666667,0.0068,0.00018496,135147.841262151,115.649962755211,7.70778486375049e-26,123,"",11
"28","LQH_1","LQH",1,0.8152,0.73788159,0.0118887179869264,0.0780861966666667,0.0224990964815352,0.223,0.06193552,0.0042,7.056e-05,135208.804179937,176.612880540895,4.45656440081228e-39,135,"",15
"29","PQH_1","PQH",1,0.8163,0.73408452,0.0109684025510659,0.0870465033333333,0.0185649184084645,0.2206,0.0628293866666667,0.0074,0.00021904,135127.123525929,94.9322265334195,2.43068591073305e-21,120,"",9
"30","LPQH_1","LPQH",1,0.8162,0.73362529,0.0107649264973785,0.0876568633333333,0.0182389294863301,0.2208,0.0627434666666667,0.0074,0.00021904,135193.382251587,161.190952191013,9.9501442786055e-36,145,"",12
